Size,CPU,Postgres ,MariaDB InnoDB ,MariaDB Aria,MySQL InnoDB,MSSQL ,MySQL MyISAM ,Oracle ,TEST,CZY_INDEKSOWANE,5th,95th,AVG,STDDEV
<= 10^6,3,-0.184437564,-1.7,-0.785212742,-0.646155979,1.953872429,-0.338066144,2,GROUP_BY_ORDER_BY,1,0.50313,3.68621,0.7128,0.240189683
<= 10^7,1,-1.198983099,-1.7,-1.11711555,0.308437193,0.68445116,1.323210295,2,GROUP_BY_ORDER_BY,1,2.76989,14.68004,3.54578,0.62417894
<= 10^7,2,-1.7,-1.201799756,-1.095933464,0.139266757,1.132727259,1.025739205,2,GROUP_BY_ORDER_BY,1,2.65883,12.30583,3.52018,0.713163733
<= 10^7,3,-1.7,-1.19715677,-1.096476766,0.13630312,1.175975458,0.981354958,2,GROUP_BY_ORDER_BY,1,2.62174,12.2766,3.5221,0.72705599
<= 10^5,1,-1.4,-0.43743602,-0.28057792,-0.717157376,1.979677712,-0.544506396,2.1,WINDOW_FUNCTION,N/D,0.67049,3.29996,0.98552,0.373586062
<= 10^5,2,-1.4,-0.343069992,-0.307597849,-0.732486798,1.975047471,-0.591892831,2.1,WINDOW_FUNCTION,N/D,0.60939,3.01029,0.9506,0.386218565
<= 10^5,3,-1.4,-0.408373278,-0.253414778,-0.729047729,1.974145685,-0.5833099,2.1,WINDOW_FUNCTION,N/D,0.60331,3.04303,0.94374,0.390427113
<= 10^6,1,-0.547155711,-0.264246711,-0.318790142,-1.4,1.959818393,-0.829625829,2.1,WINDOW_FUNCTION,N/D,7.2905,33.40297,11.11166,4.10131879
<= 10^6,2,-0.770646771,-0.293104512,-0.192601922,-1.4,1.949896337,-0.693543132,2.1,WINDOW_FUNCTION,N/D,6.64925,30.59466,10.28344,4.517296553
<= 10^6,3,-0.792876317,-0.275520387,-0.187229628,-1.4,1.945402249,-0.689775917,2.1,WINDOW_FUNCTION,N/D,6.59552,30.90683,10.27932,4.584851283
<= 10^7,1,-1.4,0.760190587,0.759089948,-1.230908049,0.925668596,-1.214041082,2.1,WINDOW_FUNCTION,N/D,98.29409,349.00969,176.13368,52.6057816
<= 10^7,2,-1.4,0.876747738,0.573472848,-1.250895066,0.976868359,-1.176193879,2.1,WINDOW_FUNCTION,N/D,80.95071,327.66146,168.16018,57.15705652
<= 10^7,3,-1.4,0.80626753,0.633070933,-1.231174242,0.994029377,-1.202193598,2.1,WINDOW_FUNCTION,N/D,79.6987,333.47425,167.82664,58.05599042
N/D,1,-0.847760852,-0.0949325,-0.063727415,1.874667053,-0.868246286,2,-1.3,JOIN_2,0,0.60228,7.99443,2.6633,2.201564268
N/D,2,-1.3,0.293516299,0.244527744,1.599235456,-0.989524344,2,-1.147755154,JOIN_2,0,0.4416,7.14613,2.10296,1.349294747
N/D,3,-1.3,0.257779112,0.253292287,1.612947277,-0.984335782,2,-1.139682893,JOIN_2,0,0.36467,7.11277,2.08974,1.359536069
N/D,1,0.785101647,-1.166174377,-1.3,-0.387750893,1.51969968,-0.750876057,2,JOIN_2,1,0.017006667,0.067583333,0.03666,0.015972454
N/D,2,0.177870146,-1.081667184,-1.3,-0.318721633,2,-0.603133288,1.825651958,JOIN_2,1,0.01628,0.062013333,0.03244,0.014767327
N/D,3,0.203340385,-1.147488935,-1.3,-0.240571724,1.79283213,-0.608111857,2,JOIN_2,1,0.016146667,0.06321,0.03236,0.013966729
N/D,1,-0.84355215,-0.09120734,-0.072370351,1.876100579,-0.868970738,2,-1.3,JOIN_3,0,0.59813,8.02441,2.65334,2.203112161
N/D,2,-1.3,0.296558849,0.246246086,1.597566106,-1.004595306,2,-1.135775736,JOIN_3,0,0.4401,7.10297,2.09844,1.361483567
N/D,3,-1.3,0.251444263,0.257078418,1.614616951,-0.991435569,2,-1.131704063,JOIN_3,0,0.36591,7.14496,2.08456,1.366664706
N/D,1,1.177801549,-1.3,-1.617145328,0.885120116,0.016724653,-0.462500991,2,JOIN_3,1,0.015548,0.055202,0.025856,0.006218365
N/D,2,1.191024056,-1.650952329,-1.3,0.803641897,0.102832355,-0.44654598,2,JOIN_3,1,0.015082,0.047938,0.024696,0.005679146
N/D,3,1.116440007,-1.630084703,-1.3,0.944996517,0.019201671,-0.450553492,2,JOIN_3,1,0.015186,0.05138,0.024708,0.005832826
N/D,1,0.330908442,-1.302579147,-1.3,0.646727739,-1.004305366,2,1.329248333,JOIN_4,0,0.021413333,0.078905,0.03409,0.009499103
N/D,2,0.526728854,-1.393209219,-1.3,0.95084819,-1.010133689,2,0.925765864,JOIN_4,0,0.020268333,0.072751667,0.030766667,0.007309264
N/D,3,0.460816964,-1.3,-1.438526754,0.944697387,-0.938818466,2,0.971830869,JOIN_4,0,0.020308333,0.072655,0.03097,0.007370967
